Tool_Type,Brand,Tool_Age_Days,Days_Since_Last_Cal,Total_Checkouts,Total_Usage_Hours,Avg_Duration_Hours,Unique_Users,Past_Failures,Env_Stress_Index,Criticality_Score,Maintenance_Cost,Label_Recommended_Days_Until_Cal
Multimeter,Facom,1746,269,123,1061.7,8.6,70,1,30,2,324.6,2
Digital Torque Wrench,Makita,736,89,51,32.6,0.6,18,1,34,5,223.6,106
Hydraulic Pump,Fluke,1574,164,63,491.6,7.8,28,0,62,2,157.4,16
Hydraulic Pump,Facom,135,31,13,33.2,2.6,7,0,40,2,13.5,141
Borescope,Makita,119,186,33,371.2,11.2,16,1,10,2,161.9,-1
Multimeter,Facom,320,46,89,306.7,3.4,57,0,21,2,32.0,133
Hydraulic Pump,Makita,39,250,46,70.5,1.5,32,1,50,2,153.9,8
Digital Torque Wrench,Bosch,1436,247,157,137.2,0.9,32,0,91,5,143.6,22
Digital Torque Wrench,Fluke,881,95,20,79.6,4.0,5,2,27,5,388.1,87
Borescope,Snap-on,1788,282,62,734.8,11.9,23,3,71,2,628.8,14
Pneumatic Drill,Facom,1249,193,173,689.8,4.0,119,1,86,3,274.9,3
Borescope,Facom,1408,118,86,132.5,1.5,42,2,10,2,440.8,43
Pneumatic Drill,Facom,1519,3,78,451.3,5.8,46,2,68,3,451.9,165
Hydraulic Pump,Fluke,228,27,89,557.8,6.3,29,0,39,2,22.8,111
Pneumatic Drill,Snap-on,466,254,380,1506.7,4.0,163,0,47,3,46.6,2
Digital Torque Wrench,Bosch,981,164,141,458.1,3.2,95,1,77,5,248.1,3
Multimeter,Snap-on,539,77,101,1195.2,11.8,60,0,70,2,53.9,80
Borescope,Snap-on,395,152,72,816.4,11.3,42,2,100,2,339.5,4
Digital Torque Wrench,Fluke,1732,225,76,279.3,3.7,42,1,11,5,323.2,-2
Pneumatic Drill,Facom,717,356,227,1439.0,6.3,113,2,23,3,371.7,-2
Pneumatic Drill,Snap-on,1203,124,55,318.7,5.8,31,2,35,3,420.3,38
Multimeter,Facom,193,307,134,875.8,6.5,55,0,1,2,19.3,0
Digital Torque Wrench,Facom,1243,2,144,513.2,3.6,101,1,99,5,274.3,94
Digital Torque Wrench,Bosch,58,283,83,323.8,3.9,64,0,80,5,5.8,9
Pneumatic Drill,Facom,1269,208,67,460.3,6.9,47,1,105,3,276.9,-6
Multimeter,Fluke,1117,361,112,879.5,7.9,63,0,12,2,111.7,11
Pneumatic Drill,Bosch,822,328,374,930.7,2.5,273,5,44,3,832.2,20
Hydraulic Pump,Bosch,1674,59,143,1047.3,7.3,35,2,71,2,467.4,81
Multimeter,Fluke,1225,153,14,86.4,6.2,8,4,49,2,722.5,-4
Digital Torque Wrench,Facom,89,10,169,374.3,2.2,76,0,36,5,8.9,162
Pneumatic Drill,Makita,568,49,460,3460.7,7.5,360,1,61,3,206.8,106
Pneumatic Drill,Facom,1351,249,394,1084.8,2.8,205,5,51,3,885.1,10
Pneumatic Drill,Makita,1513,134,263,1693.8,6.4,181,3,118,3,601.3,22
Pneumatic Drill,Facom,1748,265,353,2426.9,6.9,204,1,25,3,324.8,15
Digital Torque Wrench,Makita,945,145,27,49.1,1.8,10,1,3,5,244.5,47
Multimeter,Facom,311,223,41,431.4,10.5,13,2,14,2,331.1,-4
Hydraulic Pump,Fluke,1496,37,17,170.3,10.0,3,1,73,2,299.6,138
Pneumatic Drill,Fluke,677,296,205,1387.1,6.8,68,1,48,3,217.7,21
Borescope,Facom,1594,254,88,401.8,4.6,37,1,13,2,309.4,4
Hydraulic Pump,Snap-on,501,132,99,746.7,7.5,23,1,79,2,200.1,15
Multimeter,Snap-on,1807,358,14,56.5,4.0,6,0,62,2,180.7,21
Multimeter,Facom,148,13,63,722.9,11.5,27,1,25,2,164.8,145
Hydraulic Pump,Snap-on,200,171,123,413.6,3.4,70,0,46,2,20.0,-2
Multimeter,Makita,1548,305,127,1293.1,10.2,81,2,97,2,454.8,3
Digital Torque Wrench,Fluke,278,129,27,78.5,2.9,6,0,48,5,27.8,49
Pneumatic Drill,Fluke,54,97,416,2440.7,5.9,135,1,26,3,155.4,61
Borescope,Makita,1748,355,130,451.6,3.5,73,2,55,2,474.8,10
Digital Torque Wrench,Facom,1217,22,76,303.9,4.0,58,0,64,5,121.7,133
Multimeter,Makita,1524,3,84,588.3,7.0,44,0,49,2,152.4,141
Borescope,Facom,1272,266,81,966.1,11.9,23,1,90,2,277.2,6
Multimeter,Facom,688,178,33,49.7,1.5,18,0,15,2,68.8,10
Multimeter,Fluke,1342,286,41,177.3,4.3,11,2,15,2,434.2,20
Borescope,Snap-on,1237,47,133,739.4,5.6,89,0,48,2,123.7,85
Multimeter,Bosch,760,47,140,214.8,1.5,86,1,49,2,226.0,120
Multimeter,Makita,32,343,94,294.1,3.1,44,1,58,2,153.2,11
Pneumatic Drill,Facom,1251,18,450,2211.8,4.9,282,2,120,3,425.1,88
Pneumatic Drill,Bosch,1572,85,59,430.2,7.3,12,1,67,3,307.2,61
Hydraulic Pump,Makita,1498,263,83,858.6,10.3,54,0,20,2,149.8,20
Borescope,Makita,1549,189,16,23.0,1.4,12,1,61,2,304.9,-4
Multimeter,Makita,409,182,55,557.5,10.1,27,1,7,2,190.9,-2
Digital Torque Wrench,Bosch,290,41,70,169.3,2.4,33,1,4,5,179.0,129
Borescope,Snap-on,1707,362,138,1392.2,10.1,56,1,0,2,320.7,-6
Hydraulic Pump,Fluke,1324,200,141,1117.9,7.9,79,3,30,2,582.4,16
Pneumatic Drill,Makita,1145,54,422,3130.5,7.4,251,0,50,3,114.5,67
Pneumatic Drill,Snap-on,1183,228,279,1387.7,5.0,80,0,65,3,118.3,17
Borescope,Facom,1439,66,124,1200.5,9.7,49,1,58,2,293.9,79
Hydraulic Pump,Makita,1290,57,30,239.0,8.0,13,0,13,2,129.0,100
Hydraulic Pump,Fluke,1662,112,19,201.7,10.6,10,2,10,2,466.2,63
Pneumatic Drill,Bosch,1571,189,358,1750.0,4.9,230,3,111,3,607.1,17
Hydraulic Pump,Snap-on,1507,139,87,415.7,4.8,59,0,34,2,150.7,22
Pneumatic Drill,Facom,597,147,58,164.0,2.8,45,0,105,3,59.7,20
Multimeter,Snap-on,1501,241,19,104.2,5.5,9,1,14,2,300.1,14
Multimeter,Makita,1643,74,51,375.8,7.4,24,1,62,2,314.3,94
Hydraulic Pump,Bosch,1316,291,84,207.3,2.5,53,0,13,2,131.6,12
Multimeter,Bosch,1053,238,119,700.4,5.9,41,0,62,2,105.3,3
Pneumatic Drill,Facom,1164,221,315,1897.2,6.0,159,0,101,3,116.4,14
Hydraulic Pump,Snap-on,647,195,88,196.5,2.2,38,0,1,2,64.7,12
Hydraulic Pump,Bosch,834,222,63,738.4,11.7,20,1,17,2,233.4,5
Multimeter,Makita,1792,39,85,106.8,1.3,52,0,8,2,179.2,120
Hydraulic Pump,Fluke,164,101,58,494.4,8.5,18,1,40,2,166.4,82
Hydraulic Pump,Bosch,1199,216,96,903.1,9.4,23,1,20,2,269.9,21
Pneumatic Drill,Makita,529,44,253,1321.3,5.2,82,1,106,3,202.9,73
Pneumatic Drill,Snap-on,1761,97,150,685.9,4.6,67,2,118,3,476.1,13
Digital Torque Wrench,Bosch,1303,188,166,175.6,1.1,102,1,73,5,280.3,-8
Borescope,Facom,660,270,47,555.7,11.8,33,0,4,2,66.0,18
Borescope,Makita,1275,288,51,252.6,5.0,34,1,30,2,277.5,7
Multimeter,Bosch,1759,184,24,68.6,2.9,14,1,90,2,325.9,-3
Borescope,Snap-on,1749,168,83,289.0,3.5,46,0,98,2,174.9,-1
Pneumatic Drill,Snap-on,1122,150,495,3517.7,7.1,132,2,96,3,412.2,21
Digital Torque Wrench,Facom,653,306,71,196.7,2.8,19,1,6,5,215.3,2
Multimeter,Bosch,1798,161,10,28.7,2.9,4,0,71,2,179.8,5
Multimeter,Bosch,1323,304,38,287.5,7.6,25,1,72,2,282.3,8
Borescope,Facom,1743,220,75,852.0,11.4,57,2,62,2,474.3,4
Pneumatic Drill,Snap-on,504,88,58,164.4,2.8,26,1,68,3,200.4,92
Pneumatic Drill,Bosch,1102,328,284,1646.7,5.8,169,1,96,3,260.2,16
Borescope,Bosch,33,34,13,135.9,10.5,7,0,33,2,3.3,136
Borescope,Snap-on,1007,71,128,587.2,4.6,29,0,27,2,100.7,55
Borescope,Fluke,1478,20,141,1601.9,11.4,31,3,46,2,597.8,77
Pneumatic Drill,Bosch,1074,221,272,1323.3,4.9,199,5,38,3,857.4,7
Pneumatic Drill,Snap-on,607,41,76,252.0,3.3,34,2,39,3,360.7,154
Hydraulic Pump,Facom,535,350,68,195.2,2.9,33,1,59,2,203.5,-6
Digital Torque Wrench,Snap-on,517,280,30,79.0,2.6,14,1,59,5,201.7,7
Hydraulic Pump,Bosch,1146,75,59,560.0,9.5,28,0,84,2,114.6,44
Hydraulic Pump,Snap-on,169,138,58,453.2,7.8,23,0,56,2,16.9,52
Borescope,Facom,468,280,58,535.8,9.2,24,0,99,2,46.8,19
Multimeter,Facom,568,96,47,117.5,2.5,32,0,49,2,56.8,85
Pneumatic Drill,Snap-on,610,352,326,751.4,2.3,249,1,35,3,211.0,13
Pneumatic Drill,Snap-on,79,145,396,1582.2,4.0,86,0,35,3,7.9,2
Pneumatic Drill,Makita,1643,90,209,1370.7,6.6,101,0,77,3,164.3,51
Multimeter,Snap-on,314,140,104,568.8,5.5,67,0,53,2,31.4,16
Digital Torque Wrench,Snap-on,445,94,192,312.7,1.6,44,0,79,5,44.5,101
Borescope,Fluke,344,33,39,446.0,11.4,12,1,20,2,184.4,138
Pneumatic Drill,Bosch,1304,214,354,1039.2,2.9,238,0,88,3,130.4,7
Pneumatic Drill,Fluke,1311,303,185,979.7,5.3,103,1,62,3,281.1,10
Borescope,Facom,216,203,140,961.8,6.9,104,1,51,2,171.6,22
Hydraulic Pump,Snap-on,143,104,83,907.3,10.9,24,0,78,2,14.3,57
Borescope,Facom,118,238,144,1237.9,8.6,57,1,11,2,161.8,-7
Hydraulic Pump,Facom,96,355,65,348.9,5.4,28,0,37,2,9.6,-6
Multimeter,Snap-on,1396,220,129,744.3,5.8,27,0,35,2,139.6,17
Pneumatic Drill,Makita,612,1,363,2561.7,7.1,241,0,117,3,61.2,140
Multimeter,Bosch,850,53,98,473.2,4.8,26,0,21,2,85.0,135
Borescope,Bosch,983,304,133,975.7,7.3,97,0,57,2,98.3,2
Borescope,Snap-on,123,155,56,549.9,9.8,15,1,21,2,162.3,11
Digital Torque Wrench,Fluke,988,249,141,102.7,0.7,39,0,99,5,98.8,15
Multimeter,Bosch,704,11,27,165.9,6.1,18,0,84,2,70.4,161
Multimeter,Bosch,432,227,50,116.0,2.3,10,0,54,2,43.2,0
Multimeter,Facom,33,24,113,1045.1,9.2,76,1,92,2,153.3,102
Pneumatic Drill,Bosch,654,163,58,338.5,5.8,30,1,111,3,215.4,18
Pneumatic Drill,Makita,1044,171,119,452.8,3.8,80,3,65,3,554.4,4
Multimeter,Makita,877,145,13,43.2,3.3,2,2,82,2,387.7,28
Digital Torque Wrench,Fluke,396,271,140,300.1,2.1,60,2,64,5,339.6,-2
Hydraulic Pump,Makita,849,15,139,982.7,7.1,105,1,100,2,234.9,123
Digital Torque Wrench,Snap-on,1608,254,106,375.4,3.5,52,2,20,5,460.8,15
Hydraulic Pump,Bosch,810,347,85,689.5,8.1,67,0,65,2,81.0,21
Hydraulic Pump,Bosch,728,18,36,59.1,1.6,16,1,99,2,222.8,128
Hydraulic Pump,Facom,1546,95,141,859.8,6.1,72,0,49,2,154.6,46
Borescope,Makita,1172,297,53,283.0,5.3,20,2,78,2,417.2,-4
Multimeter,Snap-on,1013,25,64,162.2,2.5,38,1,55,2,251.3,149
Pneumatic Drill,Snap-on,1642,82,243,876.2,3.6,49,0,74,3,164.2,44
Borescope,Fluke,812,323,133,167.7,1.3,53,1,60,2,231.2,0
Pneumatic Drill,Snap-on,1368,267,424,1188.3,2.8,316,1,35,3,286.8,22
Digital Torque Wrench,Facom,1813,232,99,50.7,0.5,39,1,84,5,331.3,1
Borescope,Snap-on,1457,1,39,190.2,4.9,12,1,49,2,295.7,159
Digital Torque Wrench,Facom,1806,254,194,166.6,0.9,125,3,49,5,630.6,1
Borescope,Facom,249,93,17,129.3,7.6,7,0,29,2,24.9,73
Pneumatic Drill,Makita,269,256,94,205.3,2.2,50,1,111,3,176.9,22
Hydraulic Pump,Facom,1574,317,75,303.8,4.1,47,0,66,2,157.4,9
Multimeter,Snap-on,1636,200,130,1179.9,9.1,94,2,53,2,463.6,5
Borescope,Fluke,1437,315,39,236.4,6.1,25,0,19,2,143.7,18
Pneumatic Drill,Fluke,163,19,140,785.5,5.6,78,0,60,3,16.3,129
Multimeter,Facom,380,183,11,82.2,7.5,2,0,65,2,38.0,-7
Pneumatic Drill,Facom,645,125,474,2124.7,4.5,319,2,85,3,364.5,-8
Pneumatic Drill,Fluke,1285,109,242,1064.1,4.4,150,1,25,3,278.5,13
Multimeter,Fluke,87,151,143,1210.2,8.5,82,0,25,2,8.7,0
Digital Torque Wrench,Facom,1765,41,148,185.3,1.3,31,1,14,5,326.5,111
Borescope,Facom,908,279,16,46.7,2.9,6,0,16,2,90.8,22
Hydraulic Pump,Facom,1266,281,92,931.1,10.1,68,2,6,2,426.6,1
Multimeter,Fluke,446,192,138,1124.4,8.1,95,0,57,2,44.6,16
Borescope,Makita,882,256,53,491.0,9.3,20,2,41,2,388.2,-8
Borescope,Makita,630,296,85,856.8,10.1,67,0,73,2,63.0,5
Digital Torque Wrench,Facom,449,328,49,168.9,3.4,37,0,92,5,44.9,19
Digital Torque Wrench,Fluke,1526,177,176,652.3,3.7,129,0,36,5,152.6,13
Borescope,Snap-on,346,163,74,103.8,1.4,31,1,53,2,184.6,26
Multimeter,Bosch,135,303,80,524.9,6.6,23,0,52,2,13.5,15
Digital Torque Wrench,Snap-on,1079,86,26,92.7,3.6,18,2,34,5,407.9,63
Digital Torque Wrench,Makita,859,210,43,53.5,1.2,24,1,35,5,235.9,3
Multimeter,Facom,778,140,68,514.2,7.6,51,1,45,2,227.8,19
Digital Torque Wrench,Facom,1111,7,134,233.3,1.7,80,1,32,5,261.1,161
Digital Torque Wrench,Bosch,237,120,153,384.9,2.5,117,1,26,5,173.7,64
Hydraulic Pump,Makita,1304,22,106,649.2,6.1,58,0,6,2,130.4,93
Hydraulic Pump,Makita,991,182,93,140.7,1.5,60,2,64,2,399.1,7
Digital Torque Wrench,Snap-on,1084,346,181,447.3,2.5,93,1,40,5,258.4,14
Pneumatic Drill,Bosch,1193,295,127,893.3,7.0,60,1,36,3,269.3,-8
Hydraulic Pump,Makita,339,117,73,346.3,4.7,18,1,30,2,183.9,59
Multimeter,Bosch,1710,355,74,371.3,5.0,32,0,80,2,171.0,-7
Borescope,Snap-on,432,15,81,320.9,4.0,53,1,36,2,193.2,163
Pneumatic Drill,Snap-on,659,57,82,373.2,4.6,31,0,72,3,65.9,124
Digital Torque Wrench,Bosch,621,202,157,151.8,1.0,35,1,97,5,212.1,2
Multimeter,Fluke,1239,82,80,624.0,7.8,50,0,34,2,123.9,42
Pneumatic Drill,Snap-on,326,200,298,1080.0,3.6,134,1,84,3,182.6,-4
Pneumatic Drill,Snap-on,377,80,349,2115.0,6.1,238,0,47,3,37.7,66
Pneumatic Drill,Fluke,1354,344,275,837.1,3.0,177,2,94,3,435.4,8
Borescope,Facom,1530,72,129,998.4,7.7,27,3,56,2,603.0,19
Pneumatic Drill,Makita,319,94,388,2485.9,6.4,298,2,94,3,331.9,43
Multimeter,Fluke,1572,306,63,333.7,5.3,38,1,12,2,307.2,-7
Digital Torque Wrench,Makita,1012,11,188,694.5,3.7,121,0,89,5,101.2,90
Multimeter,Bosch,1761,238,115,537.4,4.7,66,0,10,2,176.1,15
Multimeter,Bosch,1703,134,107,542.4,5.1,85,1,58,2,320.3,1
Hydraulic Pump,Bosch,189,190,72,334.2,4.6,16,0,98,2,18.9,-6
Multimeter,Fluke,1317,79,69,693.9,10.1,22,4,72,2,731.7,0
Multimeter,Makita,77,64,53,407.4,7.7,25,0,56,2,7.7,116
Multimeter,Bosch,1270,22,29,86.9,3.0,16,1,13,2,277.0,123
Hydraulic Pump,Fluke,405,14,25,273.5,10.9,16,0,87,2,40.5,140
Digital Torque Wrench,Snap-on,1680,241,182,95.1,0.5,37,1,8,5,318.0,6
Multimeter,Makita,685,54,13,99.2,7.6,3,0,18,2,68.5,129
Digital Torque Wrench,Facom,1197,335,165,379.3,2.3,43,1,1,5,269.7,0
Borescope,Facom,1048,65,31,206.6,6.7,6,0,95,2,104.8,72
Multimeter,Makita,669,37,139,630.4,4.5,108,2,60,2,366.9,124
Digital Torque Wrench,Bosch,696,263,61,72.2,1.2,36,1,65,5,219.6,17
Hydraulic Pump,Facom,879,152,43,99.7,2.3,27,0,74,2,87.9,20
Pneumatic Drill,Facom,1593,226,213,1564.5,7.3,157,0,31,3,159.3,19
Hydraulic Pump,Makita,1044,147,85,754.6,8.9,18,0,96,2,104.4,14
Digital Torque Wrench,Snap-on,986,224,45,46.5,1.0,13,3,25,5,548.6,19
Hydraulic Pump,Bosch,1039,5,78,567.6,7.3,19,0,93,2,103.9,119
Multimeter,Snap-on,1549,357,21,95.1,4.5,5,0,10,2,154.9,-5
Hydraulic Pump,Bosch,906,172,121,1261.8,10.4,29,1,87,2,240.6,-3
Borescope,Snap-on,1801,265,96,753.1,7.8,27,0,90,2,180.1,19
Borescope,Bosch,1665,298,65,313.1,4.8,40,0,79,2,166.5,11
Hydraulic Pump,Bosch,1103,91,144,501.7,3.5,99,0,99,2,110.3,4
Borescope,Makita,428,322,144,877.1,6.1,95,0,13,2,42.8,8
Pneumatic Drill,Fluke,805,56,282,1463.0,5.2,192,2,49,3,380.5,96
Borescope,Facom,893,243,75,497.0,6.6,27,1,56,2,239.3,13
Digital Torque Wrench,Bosch,833,266,32,18.1,0.6,20,0,11,5,83.3,0
Digital Torque Wrench,Facom,1088,140,105,384.2,3.7,46,1,7,5,258.8,30
Hydraulic Pump,Makita,406,326,149,1676.1,11.2,30,2,84,2,340.6,-6
Multimeter,Fluke,1468,264,121,1379.2,11.4,55,3,15,2,596.8,-2
Borescope,Snap-on,472,78,107,405.1,3.8,68,0,80,2,47.2,108
Borescope,Facom,264,353,71,175.5,2.5,16,1,19,2,176.4,-7
Borescope,Bosch,552,306,101,610.5,6.0,55,1,71,2,205.2,6
Pneumatic Drill,Bosch,791,195,252,758.8,3.0,192,1,108,3,229.1,4
Digital Torque Wrench,Facom,738,78,88,338.7,3.8,43,0,23,5,73.8,114
Pneumatic Drill,Bosch,1277,256,443,1725.9,3.9,262,1,51,3,277.7,-7
Hydraulic Pump,Fluke,725,31,132,1036.9,7.9,41,0,88,2,72.5,112
Hydraulic Pump,Snap-on,795,311,125,781.0,6.2,50,0,38,2,79.5,7
Digital Torque Wrench,Snap-on,656,303,71,136.0,1.9,45,0,63,5,65.6,10
Borescope,Facom,1672,298,128,231.6,1.8,31,0,44,2,167.2,0
Multimeter,Snap-on,1068,328,88,368.3,4.2,26,2,88,2,406.8,17
Multimeter,Fluke,1045,168,111,1178.4,10.6,80,0,37,2,104.5,11
Pneumatic Drill,Snap-on,343,181,60,421.4,7.0,23,2,110,3,334.3,7
Borescope,Facom,1713,206,120,1413.8,11.8,44,1,36,2,321.3,14
Digital Torque Wrench,Snap-on,1138,76,30,117.6,3.9,15,1,68,5,263.8,85
Hydraulic Pump,Snap-on,1157,208,149,1692.8,11.4,46,2,72,2,415.7,-5
Digital Torque Wrench,Fluke,1115,157,31,24.2,0.8,24,0,23,5,111.5,11
Multimeter,Snap-on,466,59,23,178.0,7.7,17,0,54,2,46.6,128
Hydraulic Pump,Fluke,360,52,143,641.6,4.5,88,0,61,2,36.0,93
Digital Torque Wrench,Fluke,1368,239,36,134.8,3.7,26,0,23,5,136.8,-1
Hydraulic Pump,Snap-on,530,314,109,563.1,5.2,27,0,6,2,53.0,0
Digital Torque Wrench,Snap-on,1502,265,40,143.1,3.6,18,1,93,5,300.2,-3
Digital Torque Wrench,Fluke,1307,349,183,252.0,1.4,88,5,32,5,880.7,7
Borescope,Snap-on,157,277,22,188.9,8.6,9,0,50,2,15.7,9
Multimeter,Facom,1763,109,63,354.0,5.6,46,0,62,2,176.3,59
Digital Torque Wrench,Snap-on,386,218,195,708.3,3.6,133,0,34,5,38.6,22
Borescope,Snap-on,99,46,126,1448.3,11.5,100,0,32,2,9.9,93
Hydraulic Pump,Bosch,1184,62,47,183.8,3.9,18,1,84,2,268.4,82
Multimeter,Bosch,1350,25,98,208.2,2.1,76,2,80,2,435.0,122
Digital Torque Wrench,Bosch,735,26,121,151.6,1.3,24,0,40,5,73.5,150
Digital Torque Wrench,Snap-on,525,146,42,78.4,1.9,31,0,80,5,52.5,19
Pneumatic Drill,Fluke,58,318,361,1896.8,5.3,147,2,97,3,305.8,15
Digital Torque Wrench,Facom,209,207,61,182.9,3.0,47,0,29,5,20.9,1
Multimeter,Fluke,793,230,124,902.0,7.3,58,0,96,2,79.3,-8
Hydraulic Pump,Makita,900,134,86,584.3,6.8,66,2,68,2,390.0,22
Multimeter,Facom,850,87,26,154.1,5.9,10,0,94,2,85.0,61
Hydraulic Pump,Makita,1125,150,45,186.5,4.1,17,1,16,2,262.5,21
Digital Torque Wrench,Facom,968,46,173,447.7,2.6,117,0,39,5,96.8,137
Pneumatic Drill,Makita,789,32,141,592.7,4.2,102,2,74,3,378.9,130
Digital Torque Wrench,Bosch,661,303,92,227.9,2.5,49,1,49,5,216.1,10
Multimeter,Snap-on,1065,154,109,151.4,1.4,60,0,40,2,106.5,15
Hydraulic Pump,Bosch,1767,100,24,92.2,3.8,6,0,50,2,176.7,66
Pneumatic Drill,Facom,222,133,460,2114.7,4.6,271,0,23,3,22.2,3
Hydraulic Pump,Makita,92,270,57,434.9,7.6,41,1,93,2,159.2,9
Borescope,Bosch,112,165,38,335.4,8.8,8,0,4,2,11.2,15
Multimeter,Snap-on,295,225,127,1337.7,10.5,79,0,34,2,29.5,7
Borescope,Snap-on,1773,363,146,1722.3,11.8,66,2,40,2,477.3,18
Hydraulic Pump,Fluke,421,349,47,147.9,3.1,33,0,42,2,42.1,-3
Digital Torque Wrench,Facom,1690,42,57,196.7,3.5,45,2,31,5,469.0,131
Hydraulic Pump,Fluke,136,118,150,1652.6,11.0,53,1,78,2,163.6,46
Pneumatic Drill,Fluke,1157,137,465,1210.3,2.6,276,2,32,3,415.7,14
Multimeter,Facom,1236,227,26,285.8,11.0,16,1,50,2,273.6,3
Pneumatic Drill,Fluke,584,251,76,421.0,5.5,30,0,88,3,58.4,17
Multimeter,Fluke,81,174,64,66.0,1.0,21,1,10,2,158.1,12
Multimeter,Facom,214,142,118,1316.5,11.2,28,1,86,2,171.4,20
Hydraulic Pump,Bosch,827,24,10,84.8,8.5,5,1,38,2,232.7,171
Digital Torque Wrench,Facom,1809,33,20,76.7,3.8,4,4,76,5,780.9,73
Digital Torque Wrench,Makita,852,361,102,320.7,3.1,59,0,98,5,85.2,1
Hydraulic Pump,Snap-on,273,151,113,226.5,2.0,54,0,35,2,27.3,41
Borescope,Facom,866,5,47,266.3,5.7,10,1,29,2,236.6,184
Digital Torque Wrench,Facom,396,2,169,219.0,1.3,48,1,35,5,189.6,181
Digital Torque Wrench,Snap-on,744,114,63,177.0,2.8,24,0,41,5,74.4,60
Hydraulic Pump,Makita,385,246,72,607.3,8.4,47,1,33,2,188.5,16
Digital Torque Wrench,Snap-on,717,51,143,336.3,2.4,85,0,15,5,71.7,120
Hydraulic Pump,Bosch,503,150,146,877.4,6.0,97,1,28,2,200.3,7
Digital Torque Wrench,Bosch,772,249,153,111.2,0.7,70,0,17,5,77.2,-3
Hydraulic Pump,Bosch,1590,42,51,140.3,2.8,34,1,34,2,309.0,131
Pneumatic Drill,Bosch,1777,67,438,3361.8,7.7,167,1,57,3,327.7,69
Hydraulic Pump,Facom,1456,177,20,28.1,1.4,14,3,81,2,595.6,4
Borescope,Snap-on,251,360,77,825.4,10.7,47,0,44,2,25.1,9
Digital Torque Wrench,Fluke,1732,363,76,92.0,1.2,44,2,69,5,473.2,15
Pneumatic Drill,Snap-on,42,342,384,1496.1,3.9,185,1,118,3,154.2,10
Borescope,Makita,1816,326,33,169.7,5.1,17,1,28,2,331.6,-5
Multimeter,Snap-on,836,248,15,138.6,9.2,8,1,19,2,233.6,14
Multimeter,Fluke,884,225,77,472.5,6.1,52,0,53,2,88.4,10
Digital Torque Wrench,Fluke,943,190,96,217.5,2.3,22,0,17,5,94.3,7
Digital Torque Wrench,Bosch,914,202,114,122.8,1.1,45,1,69,5,241.4,4
Borescope,Makita,1580,255,33,388.4,11.8,10,1,79,2,308.0,1
Multimeter,Bosch,1026,209,143,1001.4,7.0,50,2,7,2,402.6,21
Pneumatic Drill,Makita,659,242,217,1406.3,6.5,129,0,96,3,65.9,20
Hydraulic Pump,Fluke,809,226,53,611.3,11.5,40,2,67,2,380.9,-1
Digital Torque Wrench,Bosch,1615,84,172,326.7,1.9,126,0,31,5,161.5,65
Digital Torque Wrench,Makita,1380,27,70,148.7,2.1,34,0,27,5,138.0,143
Borescope,Bosch,312,158,146,432.5,3.0,37,0,59,2,31.2,28
Hydraulic Pump,Snap-on,652,217,115,932.6,8.1,78,1,23,2,215.2,1
Pneumatic Drill,Bosch,296,239,108,464.0,4.3,83,2,65,3,329.6,-8
Hydraulic Pump,Snap-on,390,336,78,266.4,3.4,17,0,1,2,39.0,0
Hydraulic Pump,Facom,87,8,141,782.2,5.5,74,1,48,2,158.7,144
Hydraulic Pump,Snap-on,1178,182,14,128.6,9.2,5,0,73,2,117.8,5
Multimeter,Facom,944,343,24,77.0,3.2,14,0,81,2,94.4,12
Digital Torque Wrench,Snap-on,1489,346,174,104.5,0.6,83,0,29,5,148.9,21
Pneumatic Drill,Makita,1790,17,183,902.5,4.9,61,3,26,3,629.0,63
Digital Torque Wrench,Makita,1726,5,156,94.6,0.6,118,1,0,5,322.6,149
Digital Torque Wrench,Fluke,1666,153,66,168.1,2.5,23,1,95,5,316.6,16
Hydraulic Pump,Facom,1503,205,110,872.8,7.9,75,1,81,2,300.3,-3
Borescope,Facom,717,4,129,726.5,5.6,45,0,71,2,71.7,159
Digital Torque Wrench,Snap-on,670,275,36,71.1,2.0,21,0,10,5,67.0,18
Hydraulic Pump,Bosch,1747,305,89,133.8,1.5,51,2,84,2,474.7,4
Pneumatic Drill,Snap-on,1193,314,250,917.4,3.7,92,0,47,3,119.3,17
Digital Torque Wrench,Snap-on,499,23,155,180.8,1.2,106,0,58,5,49.9,167
Pneumatic Drill,Makita,688,155,157,716.7,4.6,98,0,76,3,68.8,7
Borescope,Facom,1583,218,21,160.8,7.7,9,1,35,2,308.3,11
Pneumatic Drill,Snap-on,1436,361,471,3344.0,7.1,262,0,86,3,143.6,9
Hydraulic Pump,Bosch,1720,299,10,52.7,5.3,6,0,97,2,172.0,7
Hydraulic Pump,Facom,1014,304,69,143.5,2.1,51,1,42,2,251.4,-6
Hydraulic Pump,Facom,259,197,20,146.8,7.3,12,1,48,2,175.9,1
Digital Torque Wrench,Snap-on,554,231,162,268.5,1.7,60,1,4,5,205.4,21
Borescope,Makita,922,75,70,807.8,11.5,34,2,21,2,392.2,73
Borescope,Facom,714,160,111,956.7,8.6,36,0,56,2,71.4,12
Borescope,Facom,1610,136,112,652.9,5.8,40,1,26,2,311.0,10
Multimeter,Bosch,78,322,93,627.3,6.7,43,0,47,2,7.8,22
Multimeter,Fluke,1795,52,126,237.5,1.9,69,0,75,2,179.5,117
Pneumatic Drill,Makita,1336,277,358,2052.4,5.7,285,2,105,3,433.6,12
